0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 1 1.0 0.0 4.02e-05 0 0
2 1 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
3 35 0 0.0 MF 1 1.0 0.0 2.4599999999999998e-05 0 0
4 1 0 6e-07 MF 1 1.0 0.0 5.388e-05 0 0
5 1 0 1.44e-06 MF 1 0.9864075471627056 0.0 6.5352e-05 0 0
6 24 0 0.0 MF 1 1.0 0.0 2.4599999999999998e-05 0 0
7 1 0 1.176e-06 MF 1 0.9539097119402661 0.0 6.87408e-05 0 0
8 2 0 0.0 MF 1 1.0 0.0 3.6e-05 0 0
9 2 0 6e-07 MF 1 1.0 0.0 0.0001068 0 0
10 3 0 0.0 MF 1 1.0 0.0 2.6399999999999998e-05 0 0
11 26 0 0.0 MF 1 1.0 0.0 2.7000000000000002e-05 0 0
12 29 0 0.0 MF 1 1.0 0.0 2.58e-05 0 0
13 4 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
14 23 0 0.0 MF 1 1.0 0.0 3e-05 0 0
15 22 0 0.0 MF 1 1.0 0.0 2.6399999999999998e-05 0 0
16 21 0 0.0 MF 1 1.0 0.0 4.14e-05 0 0
17 5 0 0.0 MF 1 1.0 0.0 3.6599999999999995e-05 0 0
18 4 0 1.2e-06 MF 1 1.0 0.0 8.448e-05 0 0
19 29 0 6e-07 MF 1 1.0 0.0 8.531999999999999e-05 0 0
20 30 0 0.0 MF 1 1.0 0.0 3.18e-05 0 0
21 6 0 0.0 MF 1 1.0 0.0 2.76e-05 0 0
22 6 0 1.2e-06 MF 1 1.0 0.0 5.784e-05 0 0
23 30 0 1.2e-06 MF 1 1.0 0.0 5.892e-05 0 0
24 29 0 2.6399999999999997e-06 MF 1 0.9864075471627056 0.0 8.0328e-05 0 0
25 26 0 1.2e-06 MF 1 1.0 0.0 5.7600000000000004e-05 0 0
26 3 0 1.2e-06 MF 1 1.0 0.0 5.6160000000000004e-05 0 0
27 28 0 0.0 MF 1 1.0 0.0 2.7000000000000002e-05 0 0
28 28 0 1.2e-06 MF 1 1.0 0.0 5.64e-05 0 0
29 28 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.995999999999999e-05 0 0
30 2 0 2.04e-06 MF 1 0.9864075471627056 0.0 9.072e-05 0 0
31 2 0 2.016e-06 MF 1 0.9539097119402661 0.0 8.188800000000001e-05 0 0
32 1 0 1.0704e-06 MF 1 0.907023835724906 0.0 7.369632e-05 0 0
33 24 0 1.2e-06 MF 1 1.0 0.0 5.604e-05 0 0
34 35 0 6e-07 MF 1 1.0 0.0 5.604e-05 0 0
35 35 0 1.44e-06 MF 1 0.9864075471627056 0.0 6.8616e-05 0 0
36 0 0 1.8e-06 MF 1 0.9864075471627056 0.0 6.048e-05 0 0
37 0 0 1.92e-06 MF 1 0.9539097119402661 0.0 6.9792e-05 0 0
38 35 0 1.776e-06 MF 1 0.9539097119402661 0.0 7.184639999999999e-05 0 0
39 1 0 1.02816e-06 MF 1 0.8496670861765812 0.0 7.4478528e-05 0 0
40 0 0 1.3679999999999999e-06 MF 1 0.907023835724906 0.0 7.291679999999999e-05 0 0
41 1 0 1.611264e-06 MF 1 0.7839429652810307 0.0 7.41914112e-05 0 0
42 2 0 1.4064e-06 MF 1 0.9202708659388882 0.0 7.835520000000002e-05 0 0
43 2 0 1.76256e-06 MF 1 0.8833261436179257 0.0 8.474208000000002e-05 0 0
44 24 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.5616e-05 0 0
45 25 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
46 24 0 1.032e-06 MF 1 0.9539097119402661 0.0 6.88464e-05 0 0
47 2 0 1.305024e-06 MF 1 0.8319862889061805 0.0 7.6496832e-05 0 0
48 28 0 1.6319999999999998e-06 MF 1 0.9539097119402661 0.0 7.118399999999999e-05 0 0
49 23 0 1.2e-06 MF 1 1.0 0.0 5.46e-05 0 0
50 23 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.504e-05 0 0
51 4 0 2.2799999999999998e-06 MF 1 0.9864075471627056 0.0 7.699200000000001e-05 0 0
52 29 0 2.256e-06 MF 1 0.9539097119402662 0.0 7.53312e-05 0 0
53 26 0 1.68e-06 MF 1 0.9864075471627056 0.0 6.624e-05 0 0
54 26 0 1.872e-06 MF 1 0.9539097119402662 0.0 7.0296e-05 0 0
55 29 0 2.1024e-06 MF 1 0.9070238357249062 0.0 7.333248e-05 0 0
56 4 0 1.5119999999999999e-06 MF 1 0.9539097119402661 0.0 7.33968e-05 0 0
57 3 0 1.68e-06 MF 1 0.9864075471627056 0.0 6.6864e-05 0 0
58 28 0 1.2527999999999999e-06 MF 1 0.907023835724906 0.0 7.287359999999999e-05 0 0
59 23 0 1.6319999999999998e-06 MF 1 0.9539097119402661 0.0 6.801600000000001e-05 0 0
60 28 0 1.10112e-06 MF 1 0.8496670861765813 0.0 7.054944e-05 0 0
61 3 0 1.872e-06 MF 1 0.9539097119402661 0.0 6.874560000000001e-05 0 0
62 28 0 1.040448e-06 MF 1 0.7839429652810307 0.0 7.141977599999999e-05 0 0
63 3 0 1.9488e-06 MF 1 0.907023835724906 0.0 7.069824e-05 0 0
64 29 0 2.04096e-06 MF 1 0.8496670861765815 0.0 7.6132992e-05 0 0
65 30 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.7368e-05 0 0
66 30 0 1.032e-06 MF 1 0.9539097119402661 0.0 7.25472e-05 0 0
67 5 0 1.8e-06 MF 1 1.0 0.0 5.963999999999999e-05 0 0
68 6 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.7536e-05 0 0
69 5 0 1.92e-06 MF 1 0.9864075471627056 0.0 6.885599999999999e-05 0 0
70 6 0 1.032e-06 MF 1 0.9539097119402661 0.0 7.201439999999999e-05 0 0
71 5 0 1.3679999999999999e-06 MF 1 0.9539097119402662 0.0 7.31424e-05 0 0
72 22 0 1.2e-06 MF 1 1.0 0.0 8.076e-05 0 0
73 23 0 1.2527999999999999e-06 MF 1 0.907023835724906 0.0 0.00010940639999999999 0 0
74 23 0 1.7011199999999998e-06 MF 1 0.8496670861765813 0.0 8.936256e-05 0 0
75 22 0 2.2799999999999998e-06 MF 1 0.9864075471627056 0.0 7.7904e-05 0 0
76 4 0 1.8048e-06 MF 1 0.907023835724906 0.0 7.675872e-05 0 0
77 3 0 1.97952e-06 MF 1 0.8496670861765813 0.0 7.387929600000001e-05 0 0
78 26 0 1.9488e-06 MF 1 0.9070238357249062 0.0 7.25184e-05 0 0
79 24 0 1.6128e-06 MF 1 0.907023835724906 0.0 0.00010973856 0 0
80 2 0 1.1220096000000001e-06 MF 1 0.7672619177728778 0.0 0.0001337987328 0 0
81 24 0 2.4451200000000002e-06 MF 1 0.8496670861765815 0.0 9.1895424e-05 0 0
82 24 0 6.378048e-06 MF 1 0.7839429652810307 0.0 8.35581696e-05 0 0
83 35 0 1.3104e-06 MF 1 0.9070238357249062 0.0 7.433856e-05 0 0
84 35 0 1.12416e-06 MF 1 0.8496670861765815 0.0 7.533542400000001e-05 0 0
85 35 0 1.049664e-06 MF 1 0.7839429652810307 0.0 7.573416960000001e-05 0 0
