0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 1 1.0 0.0 5.04e-05 0 0
2 0 0 1.8e-06 MF 1 0.9864075471627056 0.0 7.895999999999999e-05 0 0
3 0 0 1.92e-06 MF 1 0.9539097119402661 0.0 9.638399999999998e-05 0 0
4 0 0 1.968e-06 MF 1 0.907023835724906 0.0 9.37536e-05 0 0
5 35 0 0.0 MF 1 1.0 0.0 3.18e-05 0 0
6 24 0 0.0 MF 1 1.0 0.0 3.12e-05 0 0
7 35 0 1.2e-06 MF 1 1.0 0.0 7.031999999999999e-05 0 0
8 0 0 1.9872000000000002e-06 MF 1 0.863778242537805 0.0 9.090144e-05 0 0
9 0 0 1.99488e-06 MF 1 0.8205686709718262 0.0 9.096057600000001e-05 0 0
10 0 0 1.997952e-06 MF 1 0.7623924219643675 0.0 8.97842304e-05 0 0
11 0 0 1.9991808e-06 MF 1 0.6915649051923749 0.0 9.891369216e-05 0 0
12 0 0 1.39967232e-06 MF 1 0.6280191814082612 0.0 9.2965476864e-05 0 0
13 1 0 0.0 MF 1 1.0 0.0 3.12e-05 0 0
14 0 0 1.759868928e-06 MF 1 0.5388776187443394 0.0 9.058619074560001e-05 0 0
15 35 0 2.88e-06 MF 1 0.9864075471627056 0.0 8.1528e-05 0 0
16 0 0 1.9039475712000001e-06 MF 1 0.8767619844550051 0.0 8.903447629824e-05 0 0
17 1 0 6e-07 MF 1 1.0 0.0 6.528e-05 0 0
18 24 0 1.2e-06 MF 1 1.0 0.0 6.768e-05 0 0
19 2 0 0.0 MF 1 1.0 0.0 3.12e-05 0 0
20 24 0 1.68e-06 MF 1 0.9864075471627056 0.0 8.107200000000001e-05 0 0
21 35 0 2.352e-06 MF 1 0.9539097119402662 0.0 8.781119999999999e-05 0 0
22 35 0 1.5408000000000001e-06 MF 1 0.9048461997468024 0.0 8.972447999999999e-05 0 0
23 24 0 1.272e-06 MF 1 0.9539097119402661 0.0 0.0001572288 0 0
24 24 0 3.5088e-06 MF 1 0.9070238357249059 0.0 0.00014629151999999998 0 0
25 25 0 0.0 MF 1 1.0 0.0 3.3e-05 0 0
26 25 0 1.2e-06 MF 1 1.0 0.0 0.0001026 0 0
27 24 0 2.6035200000000003e-06 MF 1 0.8496670861765815 0.0 0.000177916608 0 0
28 1 0 2.04e-06 MF 1 0.9848627598170249 0.0 8.0712e-05 0 0
