0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 1 1.0 0.0 4.0799999999999996e-05 0 0
2 0 0 1.2e-06 MF 1 0.9864075471627056 0.0 5.952e-05 0 0
3 35 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
4 24 0 0.0 MF 1 1.0 0.0 3.72e-05 0 0
5 1 0 0.0 MF 1 1.0 0.0 2.58e-05 0 0
6 1 0 6e-07 MF 1 1.0 0.0 5.7719999999999996e-05 0 0
7 35 0 1.2e-06 MF 1 1.0 0.0 5.388e-05 0 0
8 24 0 1.2e-06 MF 1 1.0 0.0 5.808e-05 0 0
9 25 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
10 25 0 6e-07 MF 1 1.0 0.0 5.268e-05 0 0
11 24 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.7032e-05 0 0
12 24 0 1.6319999999999998e-06 MF 1 0.9539097119402662 0.0 7.00128e-05 0 0
13 35 0 1.68e-06 MF 1 0.9864075471627056 0.0 6.4752e-05 0 0
14 35 0 1.872e-06 MF 1 0.9539097119402661 0.0 6.85008e-05 0 0
15 0 0 1.0799999999999998e-06 MF 1 0.9539097119402661 0.0 6.6408e-05 0 0
16 0 0 1.032e-06 MF 1 0.9070238357249062 0.0 6.97632e-05 0 0
17 35 0 1.3488000000000001e-06 MF 1 0.907023835724906 0.0 7.060032e-05 0 0
18 24 0 1.2527999999999999e-06 MF 1 0.907023835724906 0.0 7.120512e-05 0 0
19 35 0 1.13952e-06 MF 1 0.8496670861765813 0.0 7.0840128e-05 0 0
20 0 0 1.0128e-06 MF 1 0.8496670861765815 0.0 0.00012270528 0 0
21 35 0 1.6558079999999999e-06 MF 1 0.7839429652810307 0.0 9.373605120000001e-05 0 0
22 35 0 1.8623231999999998e-06 MF 1 0.7129349249049636 0.0 9.569442048e-05 0 0
23 0 0 2.80512e-06 MF 1 0.7839429652810307 0.0 9.4082112e-05 0 0
24 1 0 1.44e-06 MF 1 0.9864075471627056 0.0 6.8088e-05 0 0
25 2 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
26 28 0 0.0 MF 1 1.0 0.0 2.4599999999999998e-05 0 0
27 23 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
28 22 0 0.0 MF 1 1.0 0.0 4.32e-05 0 0
29 22 0 1.8e-06 MF 1 1.0 0.0 0.00010607999999999999 0 0
30 23 0 1.2e-06 MF 1 1.0 0.0 8.028e-05 0 0
31 22 0 2.52e-06 MF 1 0.9864075471627056 0.0 0.00023323199999999997 0 0
32 22 0 3.4080000000000002e-06 MF 1 0.9539097119402662 0.0 0.0001478928 0 0
33 5 0 0.0 MF 1 1.0 0.0 3.6e-05 0 0
34 22 0 1.9632e-06 MF 1 0.907023835724906 0.0 0.00010475712000000001 0 0
35 21 0 0.0 MF 1 1.0 0.0 2.58e-05 0 0
36 5 0 1.2e-06 MF 1 1.0 0.0 9.54e-05 0 0
37 6 0 0.0 MF 1 1.0 0.0 3.78e-05 0 0
38 6 0 1.2e-06 MF 1 1.0 0.0 6.192e-05 0 0
39 6 0 1.68e-06 MF 1 0.9864075471627056 0.0 7.036800000000001e-05 0 0
40 7 0 0.0 MF 1 1.0 0.0 7.14e-05 0 0
41 6 0 1.872e-06 MF 1 0.9539097119402662 0.0 7.914720000000001e-05 0 0
42 6 0 1.9488e-06 MF 1 0.907023835724906 0.0 7.785887999999999e-05 0 0
43 5 0 2.2799999999999998e-06 MF 1 0.9864075471627056 0.0 8.496e-05 0 0
44 4 0 0.0 MF 1 1.0 0.0 2.76e-05 0 0
45 23 0 1.68e-06 MF 1 0.9864075471627056 0.0 7.7112e-05 0 0
46 22 0 1.38528e-06 MF 1 0.8496670861765813 0.0 8.6902848e-05 0 0
47 23 0 1.272e-06 MF 1 0.9539097119402661 0.0 0.0001544448 0 0
48 3 0 0.0 MF 1 1.0 0.0 2.7000000000000002e-05 0 0
49 23 0 1.7088e-06 MF 1 0.907023835724906 0.0 0.00010797792 0 0
50 28 0 1.2e-06 MF 1 1.0 0.0 5.484e-05 0 0
51 3 0 6e-07 MF 1 1.0 0.0 5.58e-05 0 0
52 26 0 0.0 MF 1 1.0 0.0 2.58e-05 0 0
53 25 0 8.4e-07 MF 1 0.9864075471627056 0.0 6.5472e-05 0 0
54 25 0 1.536e-06 MF 1 0.9539097119402661 0.0 7.11888e-05 0 0
55 26 0 1.2e-06 MF 1 1.0 0.0 5.592000000000001e-05 0 0
56 29 0 0.0 MF 1 1.0 0.0 2.6399999999999998e-05 0 0
57 5 0 2.112e-06 MF 1 0.9539097119402661 0.0 9.5184e-05 0 0
58 4 0 6e-07 MF 1 1.0 0.0 5.784e-05 0 0
59 23 0 1.28352e-06 MF 1 0.8496670861765812 0.0 8.8191168e-05 0 0
60 23 0 1.713408e-06 MF 1 0.7839429652810307 0.0 7.90764672e-05 0 0
