0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 1 1.0 0.0 3.96e-05 0 0
2 0 0 1.2e-06 MF 1 0.9864075471627056 0.0 6.264e-05 0 0
3 0 0 1.0799999999999998e-06 MF 1 0.9539097119402661 0.0 7.0656e-05 0 0
4 1 0 0.0 MF 1 1.0 0.0 2.6399999999999998e-05 0 0
5 2 0 0.0 MF 1 1.0 0.0 4.02e-05 0 0
6 2 0 1.8e-06 MF 1 1.0 0.0 7.008e-05 0 0
7 24 0 0.0 MF 1 1.0 0.0 2.8199999999999998e-05 0 0
8 25 0 0.0 MF 1 1.0 0.0 2.7000000000000002e-05 0 0
9 25 0 1.2e-06 MF 1 1.0 0.0 5.7600000000000004e-05 0 0
10 26 0 0.0 MF 1 1.0 0.0 2.6399999999999998e-05 0 0
11 3 0 0.0 MF 1 1.0 0.0 2.58e-05 0 0
12 28 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
13 28 0 1.2e-06 MF 1 1.0 0.0 5.447999999999999e-05 0 0
14 28 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.619199999999999e-05 0 0
15 28 0 1.032e-06 MF 1 0.9539097119402662 0.0 6.90768e-05 0 0
16 3 0 6e-07 MF 1 1.0 0.0 5.292e-05 0 0
17 26 0 6e-07 MF 1 1.0 0.0 5.376e-05 0 0
18 24 0 1.2e-06 MF 1 1.0 0.0 5.508e-05 0 0
19 2 0 2.52e-06 MF 1 0.9864075471627056 0.0 0.000117432 0 0
20 3 0 8.4e-07 MF 1 0.9864075471627056 0.0 6.556799999999999e-05 0 0
21 26 0 2.04e-06 MF 1 0.9864075471627056 0.0 6.710400000000001e-05 0 0
22 29 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
23 29 0 1.2e-06 MF 1 1.0 0.0 5.328e-05 0 0
24 30 0 0.0 MF 1 1.0 0.0 3e-05 0 0
25 5 0 0.0 MF 1 1.0 0.0 4.4399999999999995e-05 0 0
26 21 0 0.0 MF 1 1.0 0.0 4.0799999999999996e-05 0 0
27 21 0 1.2e-06 MF 1 1.0 0.0 6.0719999999999995e-05 0 0
28 20 0 0.0 MF 1 1.0 0.0 2.9399999999999996e-05 0 0
29 20 0 1.2e-06 MF 1 1.0 0.0 5.8559999999999995e-05 0 0
30 20 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 8.0424e-05 0 0
31 19 0 0.0 MF 1 1.0 0.0 2.52e-05 0 0
32 19 0 1.2e-06 MF 1 1.0 0.0 0.00011567999999999999 0 0
33 20 0 1.032e-06 MF 1 0.9539097119402662 0.0 7.896960000000001e-05 0 0
34 21 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 6.928799999999999e-05 0 0
35 5 0 2.4e-06 MF 1 1.0 0.0 6.276e-05 0 0
36 30 0 1.8e-06 MF 1 1.0 0.0 5.6999999999999996e-05 0 0
37 30 0 1.32e-06 MF 1 0.9864075471627056 0.0 7.68e-05 0 0
38 29 0 1.68e-06 MF 1 0.9864075471627056 0.0 6.7512e-05 0 0
