0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 1 1.0 0.0 4.26e-05 0 0
2 0 0 1.8e-06 MF 1 0.9864075471627056 0.0 6.564e-05 0 0
3 1 0 0.0 MF 1 1.0 0.0 2.76e-05 0 0
4 2 0 0.0 MF 1 1.0 0.0 2.7000000000000002e-05 0 0
5 24 0 0.0 MF 1 1.0 0.0 2.7000000000000002e-05 0 0
6 1 0 1.2e-06 MF 1 1.0 0.0 5.8439999999999996e-05 0 0
7 0 0 1.32e-06 MF 1 0.9539097119402661 0.0 7.3056e-05 0 0
8 0 0 1.728e-06 MF 1 0.907023835724906 0.0 0.0001132224 0 0
9 0 0 2.4912e-06 MF 1 0.8496670861765813 0.0 9.448896000000001e-05 0 0
10 1 0 1.0799999999999998e-06 MF 1 0.9864075471627056 0.0 0.000121776 0 0
11 35 0 0.0 MF 1 1.0 0.0 4.02e-05 0 0
12 24 0 1.2e-06 MF 1 1.0 0.0 6.42e-05 0 0
13 24 0 1.68e-06 MF 1 0.9864075471627056 0.0 0.00010668 0 0
14 2 0 1.2e-06 MF 1 1.0 0.0 7.44e-05 0 0
15 3 0 0.0 MF 1 1.0 0.0 4.8e-05 0 0
16 2 0 1.68e-06 MF 1 0.9864075471627056 0.0 0.00010536 0 0
17 2 0 1.872e-06 MF 1 0.9539097119402662 0.0 9.1944e-05 0 0
18 1 0 1.6319999999999998e-06 MF 1 0.9539097119402661 0.0 0.0001465104 0 0
19 35 0 1.2e-06 MF 1 1.0 0.0 8.748e-05 0 0
20 35 0 1.68e-06 MF 1 0.9864075471627056 0.0 0.000108792 0 0
21 0 0 2.19648e-06 MF 1 0.7839429652810307 0.0 0.00011639558400000001 0 0
22 0 0 2.678592e-06 MF 1 0.7129349249049636 0.0 9.75582336e-05 0 0
23 0 0 2.2714367999999996e-06 MF 1 0.6397310848829715 0.0 9.002329344e-05 0 0
24 0 0 1.5085747199999998e-06 MF 1 0.6053217933768021 0.0 0.000119409317376 0 0
25 0 0 3.003429888e-06 MF 1 0.9092678839809513 0.0 0.0001383637269504 0 0
26 1 0 3.0528e-06 MF 1 0.907023835724906 0.0 0.00011320416000000001 0 0
27 1 0 2.42112e-06 MF 1 0.8496670861765815 0.0 0.000133481664 0 0
28 35 0 2.4720000000000002e-06 MF 1 0.9539097119402662 0.0 0.0001311168 0 0
29 0 0 3.0013719552e-06 MF 1 0.9576537782179614 0.0 0.00014354549078016 0 0
30 35 0 2.7888000000000003e-06 MF 1 0.9070238357249062 0.0 0.00010464672000000001 0 0
31 35 0 2.31552e-06 MF 1 0.8470292267503089 0.0 9.405868800000002e-05 0 0
32 1 0 2.768448e-06 MF 1 0.7839429652810307 0.0 0.0001385926656 0 0
33 0 0 3.00054878208e-06 MF 1 0.9424114689300263 0.0 0.00011741819631206401 0 0
34 35 0 2.126208e-06 MF 1 0.7754133965459582 0.0 9.042347520000001e-05 0 0
35 35 0 2.0504832e-06 MF 1 0.6958877422880051 0.0 8.956939008e-05 0 0
36 24 0 2.4720000000000002e-06 MF 1 0.9539097119402662 0.0 0.000112272 0 0
37 2 0 1.9488e-06 MF 1 0.907023835724906 0.0 9.13776e-05 0 0
38 24 0 2.7888000000000003e-06 MF 1 0.907023835724906 0.0 0.0001019088 0 0
39 1 0 2.3073792e-06 MF 1 0.7129349249049636 0.0 0.00010943706624 0 0
40 1 0 2.12295168e-06 MF 1 0.6503770606066563 0.0 9.7174826496e-05 0 0
41 0 0 2.400219512832e-06 MF 1 0.9211908200289192 0.0 0.0001045672785248256 0 0
