0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 1 1.0 0.0 4.8e-05 0 0
2 0 0 1.8e-06 MF 1 0.9864075471627056 0.0 7.38e-05 0 0
3 35 0 0.0 MF 1 1.0 0.0 2.9399999999999996e-05 0 0
4 35 0 1.2e-06 MF 1 1.0 0.0 6.336e-05 0 0
5 0 0 1.92e-06 MF 1 0.9539097119402661 0.0 7.992000000000001e-05 0 0
6 0 0 1.968e-06 MF 1 0.907023835724906 0.0 7.9968e-05 0 0
7 1 0 0.0 MF 1 1.0 0.0 4.38e-05 0 0
8 1 0 1.2e-06 MF 1 1.0 0.0 6.852e-05 0 0
9 2 0 0.0 MF 1 1.0 0.0 3.06e-05 0 0
10 28 0 0.0 MF 1 1.0 0.0 2.88e-05 0 0
11 28 0 1.2e-06 MF 1 1.0 0.0 7.212e-05 0 0
12 23 0 0.0 MF 1 1.0 0.0 2.9399999999999996e-05 0 0
13 23 0 1.2e-06 MF 1 1.0 0.0 6.036e-05 0 0
14 5 0 0.0 MF 1 1.0 0.0 2.76e-05 0 0
15 29 0 0.0 MF 1 1.0 0.0 3.2399999999999995e-05 0 0
16 29 0 6e-07 MF 1 1.0 0.0 6.756e-05 0 0
17 5 0 1.2e-06 MF 1 1.0 0.0 6.564e-05 0 0
18 4 0 0.0 MF 1 1.0 0.0 3.06e-05 0 0
19 3 0 0.0 MF 1 1.0 0.0 3.12e-05 0 0
20 28 0 1.68e-06 MF 1 0.9864075471627056 0.0 8.4048e-05 0 0
21 28 0 1.872e-06 MF 1 0.9539097119402661 0.0 9.781920000000001e-05 0 0
22 23 0 1.68e-06 MF 1 0.9864075471627056 0.0 7.4544e-05 0 0
23 22 0 0.0 MF 1 1.0 0.0 2.8199999999999998e-05 0 0
24 21 0 0.0 MF 1 1.0 0.0 2.7000000000000002e-05 0 0
25 20 0 0.0 MF 1 1.0 0.0 2.76e-05 0 0
26 21 0 1.2e-06 MF 1 1.0 0.0 5.8800000000000006e-05 0 0
27 20 0 1.2e-06 MF 1 1.0 0.0 5.9040000000000004e-05 0 0
28 20 0 1.68e-06 MF 1 0.9864075471627056 0.0 7.1616e-05 0 0
29 20 0 1.272e-06 MF 1 0.9539097119402661 0.0 7.66464e-05 0 0
30 20 0 1.1087999999999999e-06 MF 1 0.9070238357249059 0.0 7.925856e-05 0 0
31 20 0 1.04352e-06 MF 1 0.8496670861765813 0.0 7.9703424e-05 0 0
32 20 0 1.617408e-06 MF 1 0.7839429652810308 0.0 8.52813696e-05 0 0
33 19 0 0.0 MF 1 1.0 0.0 3e-05 0 0
34 19 0 6e-07 MF 1 1.0 0.0 6.42e-05 0 0
35 19 0 1.44e-06 MF 1 0.9864075471627056 0.0 0.00024648 0 0
36 19 0 2.3759999999999998e-06 MF 1 0.9539097119402662 0.0 0.00017179199999999998 0 0
37 20 0 1.8469632e-06 MF 1 0.7129349249049636 0.0 0.00019131254784 0 0
38 20 0 3.73878528e-06 MF 1 0.6561443001328855 0.0 0.000158725019136 0 0
39 19 0 8.150399999999999e-06 MF 1 0.907023835724906 0.0 0.0001251168 0 0
40 20 0 3.295514112e-06 MF 1 0.9366691118267282 0.0 0.0001120900076544 0 0
41 21 0 1.68e-06 MF 1 0.9864075471627056 0.0 7.212000000000001e-05 0 0
42 21 0 1.872e-06 MF 1 0.9539097119402661 0.0 7.744800000000001e-05 0 0
43 22 0 6e-07 MF 1 1.0 0.0 6.048e-05 0 0
44 23 0 1.872e-06 MF 1 0.9539097119402662 0.0 8.02176e-05 0 0
45 23 0 1.9488e-06 MF 1 0.907023835724906 0.0 8.248704e-05 0 0
46 22 0 1.44e-06 MF 1 0.9864075471627056 0.0 8.899199999999999e-05 0 0
47 23 0 1.97952e-06 MF 1 0.8496670861765813 0.0 0.00010739481600000001 0 0
48 28 0 1.9488e-06 MF 1 0.907023835724906 0.0 0.00010692768000000001 0 0
49 28 0 2.57952e-06 MF 1 0.8496670861765815 0.0 0.000126771072 0 0
50 28 0 2.831808e-06 MF 1 0.7978941651710211 0.0 0.0002409084288 0 0
51 28 0 4.1327232e-06 MF 1 0.7493776339417826 0.0 0.00019476337152000002 0 0
52 3 0 1.2e-06 MF 1 1.0 0.0 0.00010668 0 0
53 2 0 1.2e-06 MF 1 1.0 0.0 6.504e-05 0 0
54 1 0 1.68e-06 MF 1 0.9864075471627056 0.0 7.9008e-05 0 0
55 24 0 0.0 MF 1 1.0 0.0 2.9399999999999996e-05 0 0
56 24 0 1.2e-06 MF 1 1.0 0.0 7.776e-05 0 0
57 2 0 1.68e-06 MF 1 0.9864075471627056 0.0 7.9416e-05 0 0
58 3 0 2.2799999999999998e-06 MF 1 0.9864075471627056 0.0 0.000138672 0 0
59 29 0 1.44e-06 MF 1 0.9864075471627056 0.0 9.8424e-05 0 0
60 4 0 1.8e-06 MF 1 1.0 0.0 7.944e-05 0 0
61 23 0 2.5918079999999997e-06 MF 1 0.7839429652810305 0.0 0.00011495792640000001 0 0
62 4 0 3.1199999999999998e-06 MF 1 0.9864075471627056 0.0 0.000101976 0 0
63 3 0 2.7119999999999996e-06 MF 1 0.9539097119402661 0.0 0.0001784688 0 0
64 28 0 4.05308928e-06 MF 1 0.7002544632892908 0.0 0.00017450534860800004 0 0
65 3 0 3.4848e-06 MF 1 0.907023835724906 0.0 0.00017758751999999997 0 0
66 26 0 0.0 MF 1 1.0 0.0 0.00034920000000000003 0 0
67 26 0 2.4e-06 MF 1 1.0 0.0 0.00020148000000000003 0 0
68 3 0 3.1939199999999997e-06 MF 1 0.8496670861765815 0.0 0.000132835008 0 0
69 26 0 2.1599999999999996e-06 MF 1 0.9864075471627056 0.0 0.000138192 0 0
70 26 0 2.064e-06 MF 1 0.9539097119402662 0.0 0.0001104768 0 0
71 25 0 0.0 MF 1 1.0 0.0 3.12e-05 0 0
72 25 0 1.2e-06 MF 1 1.0 0.0 6.768e-05 0 0
73 24 0 2.88e-06 MF 1 0.9864075471627056 0.0 8.5704e-05 0 0
74 26 0 2.0256e-06 MF 1 0.9070238357249062 0.0 9.939072e-05 0 0
75 3 0 2.4775679999999998e-06 MF 1 0.7839429652810307 0.0 0.0001053340032 0 0
76 28 0 4.0212357120000005e-06 MF 1 0.6510310853600402 0.0 0.00013040213944320002 0 0
77 2 0 1.872e-06 MF 1 0.9539097119402661 0.0 8.516639999999999e-05 0 0
78 1 0 1.272e-06 MF 1 0.9539097119402661 0.0 0.0001126032 0 0
79 2 0 1.9488e-06 MF 1 0.907023835724906 0.0 0.00013966656 0 0
80 24 0 2.352e-06 MF 1 0.9539097119402661 0.0 9.00816e-05 0 0
81 35 0 1.68e-06 MF 1 0.9864075471627056 0.0 8.1144e-05 0 0
82 35 0 1.872e-06 MF 1 0.9539097119402661 0.0 8.46576e-05 0 0
83 24 0 2.1408e-06 MF 1 0.9070238357249059 0.0 9.003264e-05 0 0
84 2 0 2.57952e-06 MF 1 0.8496670861765815 0.0 0.00010986662400000001 0 0
85 2 0 2.2318079999999998e-06 MF 1 0.7839429652810307 0.0 9.614664960000001e-05 0 0
86 3 0 2.1910272e-06 MF 1 0.7129349249049636 0.0 0.00012433360127999998 0 0
87 26 0 2.01024e-06 MF 1 0.8496670861765813 0.0 9.3156288e-05 0 0
88 29 0 2.3759999999999998e-06 MF 1 0.9539097119402661 0.0 9.336960000000001e-05 0 0
89 26 0 2.004096e-06 MF 1 0.7839429652810305 0.0 9.48625152e-05 0 0
90 25 0 1.68e-06 MF 1 0.9864075471627056 0.0 8.107200000000001e-05 0 0
91 24 0 2.05632e-06 MF 1 0.8496670861765813 0.0 8.6413056e-05 0 0
92 24 0 2.622528e-06 MF 1 0.7839429652810307 0.0 8.85652224e-05 0 0
93 25 0 1.872e-06 MF 1 0.9539097119402662 0.0 8.22288e-05 0 0
94 24 0 2.2490112e-06 MF 1 0.7129349249049636 0.0 8.702608896e-05 0 0
95 1 0 2.3088e-06 MF 1 0.907023835724906 0.0 9.544128e-05 0 0
96 0 0 1.3872e-06 MF 1 0.8496670861765813 0.0 8.178720000000001e-05 0 0
97 0 0 1.75488e-06 MF 1 0.7839429652810305 0.0 8.251488000000001e-05 0 0
98 1 0 2.1235199999999998e-06 MF 1 0.8496670861765813 0.0 8.8576512e-05 0 0
99 24 0 2.09960448e-06 MF 1 0.6561443001328855 0.0 8.5810435584e-05 0 0
100 35 0 1.9488e-06 MF 1 0.907023835724906 0.0 8.606304e-05 0 0
101 24 0 2.039841792e-06 MF 1 0.9366691118267281 0.0 8.53241742336e-05 0 0
102 35 0 1.97952e-06 MF 1 0.8496670861765815 0.0 8.482521599999999e-05 0 0
103 24 0 2.0159367168e-06 MF 1 0.9845951778051343 0.0 8.272966969344e-05 0 0
104 35 0 1.991808e-06 MF 1 0.7806359066183338 0.0 8.31300864e-05 0 0
105 0 0 1.9019520000000001e-06 MF 1 0.7129349249049636 0.0 8.1605952e-05 0 0
106 1 0 2.049408e-06 MF 1 0.7839429652810308 0.0 8.40306048e-05 0 0
107 0 0 1.3607808e-06 MF 1 0.6561443001328856 0.0 8.004238079999999e-05 0 0
108 1 0 1.4197632e-06 MF 1 0.7085847453769566 0.0 8.161224192000001e-05 0 0
109 24 0 1.40637468672e-06 MF 1 0.9783968023203463 0.0 8.4691867877376e-05 0 0
110 24 0 1.762549874688e-06 MF 1 0.9636144575863543 0.0 8.307674715095039e-05 0 0
111 25 0 1.3488000000000001e-06 MF 1 0.9070238357249062 0.0 8.269152000000001e-05 0 0
