0 0 0 0
1 0.713077 -0.0244587 0
2 1.41641 -0.0327745 0
3 2.12486 -0.102624 0
4 2.82775 -0.2597 0
5 3.59866 -0.492849 0
6 4.1381 -0.267173 0
7 4.83839 -0.175332 0
8 5.53827 -0.125431 0
9 6.238 0.173497 0
10 6.96844 -0.0306887 0
11 7.63167 0.215762 0
12 8.34029 0.167111 0
13 8.94147 -0.195832 0
14 8.56039 -0.801815 0
15 7.92828 -1.1275 0
16 7.24719 -0.90147 0
17 6.56868 -0.727287 0
18 5.87727 -0.884992 0
19 5.18801 -1.15661 0
20 4.54033 -1.16287 0
21 3.8159 -1.42425 0
22 3.1115 -1.34311 0
23 2.54208 -1.01974 0
24 1.22443 0.755448 0
25 1.73084 1.15454 0
26 2.34095 0.780831 0
27 6.56868 -1.50044 0
28 1.85085 -0.776979 0
29 3.03754 0.589563 0
30 3.84412 0.456643 0
31 4.73839 0.556643 0
32 9.31466 -0.703578 0
33 6.77237 0.644427 0
34 5.85661 0.734479 0
35 0.512988 0.978465 0
36 8.84147 -1.50044 0
37 7.94427 -0.413233 0
