0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 0.5 1.0 1.0 6.42e-05 0 0
2 0 0 0.0 MB 0.8713937010571399 0.9864075471627056 1.0 0.00016068 0 0 0 0 0
3 1 0 0.0 MB 0.5 1.0 1.0 4.62e-05 2 0 0 0 0
4 0 0 1.8e-06 MF 0.9767686576254262 0.9539097119402661 0.9729440871664418 0.000125472 0 0
5 1 0 1.2e-06 MF 0.91887206756989 1.0 1.0 7.848e-05 0 0
6 1 0 2.2799999999999998e-06 MF 0.9588857730980074 0.9864075471627056 1.0 9.0792e-05 0 0
7 2 0 0.0 MF 0.5 1.0 1.0 4.14e-05 0 0
8 1 0 2.7119999999999996e-06 MF 0.993317118290944 0.9539097119402661 1.0 0.00010291679999999999 0 0
9 2 0 1.2e-06 MF 0.9214012210741196 1.0 1.0 8.256000000000001e-05 0 0
10 2 0 2.2799999999999998e-06 MF 0.9614889286766586 0.9864075471627056 1.0 9.8424e-05 0 0
11 28 0 0.0 MB 0.5 1.0 1.0 4.5600000000000004e-05 7 0 0 0 0
12 28 0 1.8e-06 MF 0.9216760491271527 1.0 1.0 8.844e-05 0 0
13 23 0 0.0 MB 0.5 1.0 1.0 4.5600000000000004e-05 10 0 0 0 0
14 22 0 0.0 MF 0.5 1.0 1.0 4.9199999999999997e-05 0 0
15 21 0 0.0 MB 0.5 1.0 1.0 8.819999999999999e-05 10 0 0 0 0
16 22 0 3e-06 MF 0.9211895818306794 1.0 1.0 8.447999999999999e-05 0 0
17 21 0 1.2e-06 MF 0.922236973573994 1.0 1.0 0.00014027999999999998 0 0
18 5 0 0.0 MF 0.5 1.0 1.0 4.62e-05 0 0
19 21 0 2.2799999999999998e-06 MF 0.9623298075943694 0.9864075471627056 1.0 0.00012271199999999997 0 0
20 5 0 1.8e-06 MF 0.9222700916113711 1.0 1.0 9.288e-05 0 0
21 6 0 0.0 MB 0.5 1.0 1.0 4.62e-05 18 0 0 0 0
22 30 0 0.0 MB 0.5 1.0 1.0 4.4399999999999995e-05 21 0 0 0 0
23 31 0 0.0 MB 0.5 1.0 1.0 5.16e-05 9 0 0 0 0
24 31 0 1.2e-06 MF 0.9227697189295848 1.0 1.0 8.604000000000001e-05 0 0
25 31 0 2.2799999999999998e-06 MF 0.9628608095601138 0.9864075471627056 1.0 9.981600000000001e-05 0 0
26 30 0 1.2e-06 MF 0.9220920027817113 1.0 1.0 0.00011135999999999999 0 0
27 6 0 2.4e-06 MF 0.922060042699719 1.0 1.0 9.167999999999999e-05 0 0
28 6 0 2.76e-06 MF 0.9326737974398435 0.9864075471627056 0.9875660181391385 9.907199999999999e-05 0 0
29 5 0 1.92e-06 MF 0.9628551609603342 0.9864075471627056 1.0 0.000100152 0 0
30 6 0 3.504e-06 MF 0.9769637335825844 0.9539097119402661 0.9723138877349401 9.78288e-05 0 0
31 5 0 2.568e-06 MF 0.9777823250435569 0.9539097119402662 0.9729440871664418 0.0001006608 0 0
32 22 0 3e-06 MF 0.9320663445410444 0.9864075471627056 0.9875660181391385 9.4392e-05 0 0
