0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 0.5 1.0 1.0 8.04e-05 0 0
2 35 0 0.0 MF 0.5 1.0 1.0 5.5799999999999994e-05 0 0
3 35 0 1.8e-06 MF 0.9183066267218987 1.0 1.0 0.00013572 0 0
4 1 0 0.0 MB 0.5 1.0 1.0 5.04e-05 2 0 0 0 0
5 2 0 0.0 MB 0.5 1.0 1.0 5.5799999999999994e-05 3 0 0 0 0
6 2 0 1.2e-06 MF 0.9176113557073013 1.0 1.0 0.00012251999999999999 0 0
7 28 0 0.0 MF 0.5 1.0 1.0 4.8e-05 0 0
8 2 0 2.2799999999999998e-06 MF 0.9575553467122823 0.9864075471627056 1.0 0.000115008 0 0
9 3 0 0.0 MF 0.5 1.0 1.0 4.5600000000000004e-05 0 0
10 29 0 0.0 MF 0.5 1.0 1.0 4.4999999999999996e-05 0 0
11 3 0 1.2e-06 MF 0.921389903933796 1.0 1.0 8.303999999999999e-05 0 0
12 26 0 0.0 MF 0.5 1.0 1.0 4.4399999999999995e-05 0 0
13 3 0 1.68e-06 MF 0.9315085301663394 0.9864075471627056 0.9875660181391385 9.861599999999999e-05 0 0
14 23 0 0.0 MB 0.5 1.0 1.0 4.4999999999999996e-05 11 0 0 0 0
15 22 0 0.0 MB 0.5 1.0 1.0 4.8e-05 9 0 0 0 0
16 22 0 1.2e-06 MF 0.9223589539946955 1.0 1.0 8.22e-05 0 0
17 21 0 0.0 MB 0.5 1.0 1.0 4.26e-05 14 0 0 0 0
18 5 0 0.0 MB 0.5 1.0 1.0 4.26e-05 12 0 0 0 0
19 21 0 1.8e-06 MF 0.9216760491271527 1.0 1.0 8.004e-05 0 0
20 21 0 2.52e-06 MF 0.931875785648713 0.9864075471627056 0.9875660181391385 0.000146016 0 0
21 21 0 2.808e-06 MF 0.9766990530923643 0.9539097119402661 0.9723138877349401 0.0001292064 0 0
22 21 0 2.3232e-06 MF 0.9976574379541107 0.907023835724906 0.9631221966642931 0.00011348256000000001 0 0
23 20 0 0.0 MF 0.5 1.0 1.0 4.2e-05 0 0
24 19 0 0.0 MB 0.5 1.0 1.0 4.2e-05 19 0 0 0 0
25 19 0 1.2e-06 MF 0.9225069497468095 1.0 1.0 7.74e-05 0 0
26 18 1 0.0 MF 0.5 1.0 1.0 4.26e-05 0 0
27 32 0 0.0 MB 0.5 1.0 1.0 4.26e-05 103 0 0 0 0
28 32 0 2.4e-06 MF 0.9233251952812352 1.0 1.0 7.764e-05 0 0
29 13 0 0.0 MB 0.5 1.0 1.0 3.84e-05 365 0 0 0 0
30 14 0 0.0 MF 0.5 1.0 1.0 3.72e-05 0 0
31 15 0 0.0 MF 0.5 1.0 1.0 3.72e-05 0 0
32 16 0 0.0 MB 0.5 1.0 1.0 3.84e-05 7 0 0 0 0
33 11 0 0.0 MB 0.5 1.0 1.0 3.78e-05 31 0 0 0 0
34 12 0 0.0 MB 0.5 1.0 1.0 3.78e-05 14 0 0 0 0
35 11 0 1.2e-06 MF 0.9223679662990706 1.0 1.0 6.852e-05 0 0
36 10 0 0.0 MB 0.5 1.0 1.0 8.76e-05 21 0 0 0 0
37 33 0 0.0 MB 0.5 1.0 1.0 4.26e-05 33 0 0 0 0
38 33 0 1.2e-06 MF 0.920838254213816 1.0 1.0 7.583999999999999e-05 0 0
39 33 0 1.68e-06 MF 0.9616067589430446 0.9864075471627056 1.0 0.000120336 0 0
40 11 0 1.68e-06 MF 0.9327613272767856 0.9864075471627056 0.9875660181391385 8.5008e-05 0 0
41 12 0 1.2e-06 MF 0.9228000574682877 1.0 1.0 6.972e-05 0 0
42 13 0 1.2e-06 MF 0.922600455679014 1.0 1.0 6.936e-05 0 0
43 13 0 1.68e-06 MF 0.9330580770477308 0.9864075471627056 0.9875660181391385 8.174400000000001e-05 0 0
44 32 0 2.1599999999999996e-06 MF 0.9634449990475059 0.9864075471627056 1.0 8.505600000000001e-05 0 0
45 32 0 2.064e-06 MF 0.9783163907235045 0.9539097119402661 0.972944087166442 8.80224e-05 0 0
46 32 0 2.0256e-06 MF 0.9932147898398926 0.907023835724906 0.9409647476462838 8.980896e-05 0 0
47 32 0 2.01024e-06 MF 0.999465589171563 0.8496670861765813 0.9222084746362772 8.992358400000001e-05 0 0
48 32 0 2.004096e-06 MF 0.9999866416764087 0.7839429652810307 0.9132453933332966 8.936943360000001e-05 0 0
49 32 0 2.0016384e-06 MF 0.9999998494609813 0.7129349249049636 0.9093575394348826 9.094777344e-05 0 0
50 14 0 1.2e-06 MF 0.9198314601678211 1.0 1.0 6.948e-05 0 0
51 32 0 2.00065536e-06 MF 0.9999999991192571 0.6381280165800174 0.907747166782506 0.000128179109376 0 0
52 14 0 1.68e-06 MF 0.9294977802769917 0.9864075471627056 0.9875660181391385 7.9992e-05 0 0
53 13 0 1.872e-06 MF 0.9772181984888589 0.9539097119402661 0.9723138877349401 8.429760000000001e-05 0 0
54 13 0 1.9488e-06 MF 0.9976969632433195 0.907023835724906 0.9631221966642931 8.591904e-05 0 0
55 12 0 1.68e-06 MF 0.9333125272411406 0.9864075471627056 0.9875660181391385 8.0088e-05 0 0
56 13 0 1.97952e-06 MF 0.9999111449595829 0.8496670861765815 0.9586525841017789 8.7767616e-05 0 0
57 12 0 2.4720000000000002e-06 MF 0.9772232058309509 0.9539097119402661 0.97231388773494 8.423520000000001e-05 0 0
58 13 0 1.991808e-06 MF 0.9999984261564195 0.7839429652810307 0.9566948005345258 8.730704640000001e-05 0 0
59 12 0 2.1888e-06 MF 0.9977056835965843 0.9070238357249059 0.9631221966642931 8.529408e-05 0 0
60 14 0 1.872e-06 MF 0.9756458621540374 0.9539097119402662 0.97231388773494 8.77968e-05 0 0
61 37 0 0.0 MF 0.5 1.0 1.0 3.72e-05 0 0
62 12 0 2.07552e-06 MF 0.9999116940943292 0.8496670861765813 0.9586525841017789 9.2317632e-05 0 0
63 11 0 2.4720000000000002e-06 MF 0.9550876111637433 0.9539097119402661 0.9585624300046883 9.58032e-05 0 0
64 37 0 1.2e-06 MF 0.9232469570336935 1.0 1.0 7.308e-05 0 0
65 16 0 6e-07 MF 0.9231211393778693 1.0 1.0 7.175999999999999e-05 0 0
66 15 0 1.2e-06 MF 0.9217683463690319 1.0 1.0 7.128e-05 0 0
67 16 0 2.04e-06 MF 0.9332265185728118 0.9864075471627056 0.9875660181391385 8.3904e-05 0 0
68 15 0 1.68e-06 MF 0.9319941162785131 0.9864075471627056 0.9875660181391385 8.4912e-05 0 0
69 15 0 1.872e-06 MF 0.9767511467638736 0.9539097119402662 0.97231388773494 9.87648e-05 0 0
70 14 0 1.9488e-06 MF 0.997500895159611 0.907023835724906 0.9631221966642931 9.331872e-05 0 0
71 36 0 0.0 MF 0.5 1.0 1.0 4.38e-05 0 0
72 14 0 1.97952e-06 MF 0.9986392075770099 0.8496670861765813 0.9060270384433107 0.000100927488 0 0
