0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 0.5 1.0 1.0 8.1e-05 0 0
2 0 0 0.0 MB 0.8713937010571399 0.9864075471627056 1.0 0.0001032 0 0 0 0 0
3 0 0 2.4e-06 MF 0.9757755500438289 0.9539097119402661 0.9729440871664418 0.00010968 0 0
4 0 0 2.76e-06 MF 0.992123049211505 0.907023835724906 0.9409647476462838 0.000111672 0 0
5 0 0 2.9039999999999996e-06 MF 0.9993551884242423 0.8496670861765813 0.9222084746362772 0.0001106688 0 0
6 35 0 0.0 MB 0.5 1.0 1.0 4.5600000000000004e-05 2 0 0 0 0
7 35 0 1.2e-06 MF 0.9215177603980939 1.0 1.0 8.544e-05 0 0
8 24 0 0.0 MB 0.5 1.0 1.0 5.04e-05 6 0 0 0 0
9 26 0 0.0 MB 0.5 1.0 1.0 4.8e-05 5 0 0 0 0
10 3 0 0.0 MF 0.5 1.0 1.0 4.8e-05 0 0
11 2 0 0.0 MF 0.5 1.0 1.0 4.68e-05 0 0
12 3 0 2.4e-06 MF 0.9198314601678211 1.0 1.0 8.58e-05 0 0
13 28 0 0.0 MF 0.5 1.0 1.0 4.5600000000000004e-05 0 0
14 28 0 1.8e-06 MF 0.921790497134953 1.0 1.0 9.143999999999999e-05 0 0
15 3 0 2.76e-06 MF 0.9303343497296026 0.9864075471627056 0.9875660181391385 0.00010512 0 0
16 28 0 3.1199999999999998e-06 MF 0.9620242806545806 0.9864075471627056 1.0 0.000157776 0 0
17 2 0 3e-06 MF 0.9189851491962732 1.0 1.0 0.00010632 0 0
18 28 0 4.848e-06 MF 0.9939018089487679 0.9539097119402662 1.0 0.0001381104 0 0
19 23 0 0.0 MF 0.5 1.0 1.0 4.7399999999999993e-05 0 0
20 22 0 0.0 MF 0.5 1.0 1.0 0.0001572 0 0
21 22 0 2.76e-05 MF 0.9109887138941923 1.0 1.0 0.00024408000000000003 0 0
22 5 0 0.0 MB 0.5 1.0 1.0 0.00011099999999999999 9 0 0 0 0
23 5 0 1.6199999999999997e-05 MF 0.9207546823012506 1.0 1.0 0.0005538 0 0
24 22 0 1.824e-05 MF 0.9592999624194044 0.9864075471627056 1.0 0.000239832 0 0
25 23 0 5.4e-06 MF 0.920770675764907 1.0 1.0 0.00027395999999999996 0 0
26 28 0 3.7391999999999997e-06 MF 0.9996209423839062 0.9070238357249062 1.0 0.00031804416 0 0
27 28 0 8.695679999999999e-06 MF 0.9996610805503786 0.8496670861765815 0.9346972399491104 0.000903617664 0 0
28 3 0 4.104e-06 MF 0.9523175190731942 0.9539097119402662 0.9585624300046881 0.00021364799999999998 0 0
29 28 0 1.0078272e-05 MF 0.9998073016114656 0.7839429652810307 0.8646336988389586 0.0005408470656 0 0
30 23 0 1.116e-05 MF 0.9290597652327964 0.9864075471627056 0.9875660181391385 0.000344184 0 0
31 22 0 1.3296000000000001e-05 MF 0.9763329093539214 0.9539097119402662 0.9729440871664418 0.0004001328 0 0
32 23 0 9.264e-06 MF 0.9760330005228877 0.9539097119402661 0.9723138877349401 0.0003494736 0 0
33 23 0 1.03056e-05 MF 0.9975349823328085 0.907023835724906 0.9631221966642931 0.00129358944 0 0
34 22 0 4.79184e-05 MF 0.990164483867626 0.9070238357249062 0.940964747646284 0.0004960531199999999 0 0
35 23 0 4.012224e-05 MF 0.9998678767061635 0.8496670861765815 0.9586525841017789 0.0006368357759999999 0 0
36 28 0 7.6313088e-06 MF 0.9999879384206747 0.7129349249049636 0.8261480112264493 0.00030753882624 0 0
