0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 0.5 1.0 1.0 0.0003294 0 0
2 35 0 0.0 MB 0.5 1.0 1.0 7.319999999999999e-05 0 0 0 0 0
3 0 0 0.0 MB 0.8713937010571399 0.9864075471627056 1.0 0.00022956000000000002 2 0 0 0 0
4 0 0 6e-06 MF 0.973807858950331 0.9539097119402661 0.9729440871664418 0.00018842400000000002 0 0
5 0 0 4.8e-06 MF 0.9919035234710776 0.907023835724906 0.9409647476462838 0.0001725696 0 0
6 0 0 9.72e-06 MF 0.9991791738050927 0.8496670861765812 0.9222084746362772 0.00018362784 0 0
7 35 0 2.4e-06 MF 0.9199698281857074 1.0 1.0 0.00010428 0 0
8 24 0 0.0 MB 0.5 1.0 1.0 5.34e-05 3 0 0 0 0
9 24 0 1.8e-06 MF 0.9211895818306794 1.0 1.0 0.00012156 0 0
10 35 0 2.76e-06 MF 0.9304799997219323 0.9864075471627056 0.9875660181391385 0.00018691200000000002 0 0
11 0 0 6.288e-06 MF 0.9999812731267048 0.7839429652810307 0.9132453933332966 0.000146651136 0 0
12 0 0 4.3152e-06 MF 0.9999939524693596 0.7129349249049636 0.8412196307465263 0.00012946045440000002 0 0
13 1 0 0.0 MB 0.5 1.0 1.0 6.54e-05 7 0 0 0 0
14 0 0 3.52608e-06 MF 0.999992005833322 0.6561443001328856 0.7567885211280746 0.00012138418176000001 0 0
15 35 0 3.504e-06 MF 0.9530969376143101 0.9539097119402661 0.9585624300046881 0.0001479648 0 0
16 35 0 5.0016e-06 MF 0.9544627359735534 0.907023835724906 0.9046840948641407 0.00014978592 0 0
17 1 0 1.2e-06 MF 0.9227198257454571 1.0 1.0 0.00012636 0 0
18 24 0 3.1199999999999998e-06 MF 0.9614725911368753 0.9864075471627056 1.0 0.00012422399999999998 0 0
19 1 0 4.08e-06 MF 0.9653833493355477 0.9848627598170249 1.0 0.00011954399999999999 0 0
20 0 0 8.819999999999999e-05 MB 0.8330093485615893 0.9366691118267284 0.8461042785129601 0.00011995367270400002 20 0 0 0 0
21 1 0 3.432e-06 MF 0.9955109472713272 0.9493027998597272 1.0 0.00011621759999999999 0 0
22 24 0 3.048e-06 MF 0.9770327755961673 0.9539097119402661 0.972944087166442 0.00011868959999999999 0 0
23 26 0 0.0 MB 0.5 1.0 1.0 4.7399999999999993e-05 18 0 0 0 0
24 3 0 0.0 MF 0.5 1.0 1.0 5.22e-05 0 0
25 26 0 1.2e-06 MF 0.9225452575140699 1.0 1.0 9.096e-05 0 0
26 24 0 3.0192e-06 MF 0.9846734496847509 0.907023835724906 0.925836758847037 0.00011647584 0 0
27 35 0 3.80064e-06 MF 0.9863306384250741 0.8496670861765815 0.8594416854633625 0.000137314368 0 0
28 35 0 3.320256e-06 MF 0.9939523420351817 0.7839429652810307 0.7932969309602771 0.0001245257472 0 0
29 35 0 3.1281024e-06 MF 0.9987130274365644 0.7129349249049635 0.7311472881492659 0.00011821029888000001 0 0
30 0 0 0.00034128 MB 0.9909482363421558 0.9783684012996393 0.8317355688405254 0.0001169814690816 5 0 0 0 0
31 0 0 0.000540312 MB 0.986606758073378 0.9744755704931976 0.8349956369363746 0.00011579258763264001 25 0 0 0 0
32 0 0 0.0002905248 MB 0.9605987823089653 0.9511260544055588 0.8301196010799804 0.000115917035053056 1 0 0 0 0
33 1 0 3.1728e-06 MF 0.9971775016576518 0.8965585209109855 0.9466843263296539 0.00011428704 0 0
34 2 0 0.0 MB 0.5 1.0 1.0 6.36e-05 8 0 0 0 0
35 3 0 1.8e-06 MF 0.921924012256237 1.0 1.0 0.00013308 0 0
36 4 0 0.0 MF 0.5 1.0 1.0 4.98e-05 0 0
37 23 0 0.0 MF 0.5 1.0 1.0 4.8e-05 0 0
38 22 0 0.0 MB 0.5 1.0 1.0 4.86e-05 18 0 0 0 0
39 21 0 0.0 MB 0.5 1.0 1.0 4.68e-05 6 0 0 0 0
40 5 0 0.0 MF 0.5 1.0 1.0 8.28e-05 0 0
41 6 0 0.0 MF 0.5 1.0 1.0 8.64e-05 0 0
42 5 0 2.4e-06 MF 0.9220395819486745 1.0 1.0 0.00010692000000000001 0 0
43 4 0 1.2e-06 MF 0.9229249165365996 1.0 1.0 0.00014292 0 0
44 23 0 1.2e-06 MF 0.9227385375024862 1.0 1.0 0.0001764 0 0
45 28 0 0.0 MF 0.5 1.0 1.0 4.98e-05 0 0
46 3 0 2.52e-06 MF 0.9321935464658802 0.9864075471627056 0.9875660181391385 0.000122232 0 0
47 2 0 3e-06 MF 0.9212794165466234 1.0 1.0 9.203999999999999e-05 0 0
48 1 0 2.46912e-06 MF 0.9968772156994382 0.8306705867877074 0.8638926481977783 0.000111714816 0 0
49 1 0 2.1876479999999997e-06 MF 0.9985820135301747 0.7544923597011772 0.7823668644684462 0.00010948592639999999 0 0
50 2 0 3e-06 MF 0.9321479533855108 0.9864075471627056 0.9875660181391385 0.000103416 0 0
51 24 0 2.40768e-06 MF 0.9935603076101099 0.8496670861765813 0.8735743738855176 0.000117390336 0 0
52 35 0 2.45124096e-06 MF 0.9998637153251888 0.6561443001328855 0.6971985866982625 0.000110884119552 0 0
53 24 0 2.1630719999999997e-06 MF 0.9984888943112549 0.7839429652810307 0.8200283925833173 0.00012255613439999998 0 0
54 24 0 4.4652287999999995e-06 MF 0.9996914522793898 0.7247717586942047 0.7762340108556606 0.00011742245376 0 0
55 2 0 3e-06 MF 0.9769063122382904 0.9539097119402661 0.9723138877349401 0.0001067664 0 0
56 28 0 1.8e-06 MF 0.9224189024624944 1.0 1.0 8.952e-05 0 0
57 2 0 3e-06 MF 0.9976620610681102 0.907023835724906 0.9631221966642931 0.00018190656 0 0
58 1 0 2.6750592e-06 MF 0.9999135395745429 0.6696204369716391 0.7237308460569142 0.00015419437056 0 0
59 35 0 2.180496384e-06 MF 0.999999568517897 0.5593462527693939 0.668958812728182 0.0001121536478208 0 0
60 24 0 3.58609152e-06 MF 0.9999699703630631 0.6738641906363059 0.7529433324305003 0.000130968981504 0 0
61 24 0 4.434436608e-06 MF 0.999999519960349 0.6078515295282315 0.7422990733893648 0.0001669875926016 0 0
62 2 0 3.6000000000000003e-06 MF 0.9999087389812787 0.8496670861765815 0.9586525841017789 0.000178962624 0 0
63 3 0 2.208e-06 MF 0.9553041143243053 0.9539097119402661 0.9585624300046881 0.0001160928 0 0
64 2 0 3.2400000000000003e-06 MF 0.9999983854136343 0.7839429652810307 0.9566948005345258 0.0001369850496 0 0
65 1 0 2.87002368e-06 MF 0.9999988050157509 0.5897391056760994 0.6935704730854718 0.000127077748224 0 0
66 24 0 5.3737746431999994e-06 MF 0.9999999567891594 0.5718623283862239 0.7377767607645499 0.00013879503704064002 0 0
67 35 0 0.000126 MB 0.9999592802137763 0.8789090108377303 0.606316137588104 0.00011506145912832 16 0 0 0 0
68 0 0 0.00029200992000000004 MB 0.7866797013895884 0.9249111931332639 0.8370020988340627 0.0001117668140212224 216 0 0 0 0
69 1 0 0.0003156 MB 0.9996598893482005 0.9052222173751793 0.6799614039748098 0.0001132310992896 41 0 0 0 0
70 2 0 3.096e-06 MF 0.9999999842277842 0.7129349249049636 0.9558800359310965 0.00011719401984 0 0
71 28 0 1.92e-06 MF 0.962937632273363 0.9864075471627056 1.0 9.7608e-05 0 0
72 23 0 2.2799999999999998e-06 MF 0.9329348760599749 0.9864075471627056 0.9875660181391385 0.00013356000000000002 0 0
73 28 0 3.168e-06 MF 0.9777424981853446 0.9539097119402661 0.9729440871664418 9.78432e-05 0 0
74 23 0 2.112e-06 MF 0.955745230736251 0.9539097119402661 0.9585624300046883 0.000112224 0 0
75 4 0 3.48e-06 MF 0.9328296830911753 0.9864075471627056 0.9875660181391385 0.00013036799999999998 0 0
76 5 0 2.76e-06 MF 0.932652381594622 0.9864075471627056 0.9875660181391385 0.000102168 0 0
77 29 0 0.0 MF 0.5 1.0 1.0 4.2e-05 0 0
78 29 0 2.4e-06 MF 0.9232902992155039 1.0 1.0 8.280000000000001e-05 0 0
79 30 0 0.0 MF 0.5 1.0 1.0 4.14e-05 0 0
80 31 0 0.0 MF 0.5 1.0 1.0 6.84e-05 0 0
81 30 0 1.8e-06 MF 0.922551990560377 1.0 1.0 7.776e-05 0 0
82 30 0 1.92e-06 MF 0.9332522767436339 0.9864075471627056 0.9875660181391385 0.00010190399999999999 0 0
83 29 0 2.76e-06 MF 0.9634155298874987 0.9864075471627056 1.0 9.612e-05 0 0
