0 0 0 0.0 MB 0.5 0.0 0.0 0.0 0
1 0 0 0.0 MF 0.5 1.0 1.0 7.98e-05 0 0
2 0 0 0.0 MB 0.8713937010571399 0.9864075471627056 1.0 0.00011232000000000001 0 0 0 0 0
3 0 0 3.6e-06 MF 0.9747378577614192 0.9539097119402661 0.9729440871664418 0.000125928 0 0
4 35 0 0.0 MB 0.5 1.0 1.0 5.46e-05 2 0 0 0 0
5 24 0 0.0 MF 0.5 1.0 1.0 5.6399999999999995e-05 0 0
6 2 0 0.0 MF 0.5 1.0 1.0 5.2799999999999996e-05 0 0
7 3 0 0.0 MF 0.5 1.0 1.0 5.34e-05 0 0
8 2 0 1.8e-06 MF 0.9190927123424144 1.0 1.0 9.852e-05 0 0
9 26 0 0.0 MB 0.5 1.0 1.0 7.14e-05 5 0 0 0 0
10 3 0 1.8e-06 MF 0.9204711737759349 1.0 1.0 0.00011196 0 0
11 26 0 3e-06 MF 0.9199089168336029 1.0 1.0 0.00011255999999999999 0 0
12 25 0 0.0 MF 0.5 1.0 1.0 5.5799999999999994e-05 0 0
13 25 0 1.8e-06 MF 0.9218512222344611 1.0 1.0 0.00010872 0 0
14 24 0 1.2e-06 MF 0.9182068381521862 1.0 1.0 0.00015696 0 0
15 2 0 2.52e-06 MF 0.9285384507830552 0.9864075471627056 0.9875660181391385 0.00014740800000000002 0 0
16 28 0 0.0 MB 0.5 1.0 1.0 5.04e-05 11 0 0 0 0
17 3 0 2.52e-06 MF 0.9303253061457121 0.9864075471627056 0.9875660181391385 0.00011798399999999999 0 0
18 2 0 2.808e-06 MF 0.951889769729952 0.9539097119402661 0.9585624300046883 0.0001297632 0 0
19 28 0 1.8e-06 MF 0.9223047309444603 1.0 1.0 0.00011495999999999998 0 0
20 2 0 2.9232000000000002e-06 MF 0.9761463640720622 0.907023835724906 0.9179975757600642 0.00018210528 0 0
21 24 0 3.48e-06 MF 0.919534494349441 0.9864075471627056 0.9875660181391385 0.000200784 0 0
22 25 0 4.32e-06 MF 0.9615292144674661 0.9864075471627056 1.0 0.000178488 0 0
23 24 0 4.992e-06 MF 0.9399909490302553 0.9539097119402661 0.9585624300046883 0.0001547136 0 0
24 25 0 5.3280000000000005e-06 MF 0.9767255009402546 0.9539097119402661 0.9729440871664418 0.0001427952 0 0
25 24 0 3.7968e-06 MF 0.9862648322453683 0.907023835724906 0.9326476366355373 0.00015548544 0 0
26 24 0 3.31872e-06 MF 0.9991152624111166 0.8496670861765815 0.9182700398315254 0.000146194176 0 0
27 35 0 2.4e-06 MF 0.9178391033075397 1.0 1.0 9.503999999999998e-05 0 0
28 0 0 3.84e-06 MF 0.9917892737580363 0.907023835724906 0.940964747646284 0.00012477120000000002 0 0
29 0 0 3.336e-06 MF 0.9969589709701451 0.8496670861765815 0.8913445322258581 0.00012490848 0 0
30 1 0 0.0 MB 0.5 1.0 1.0 5.1e-05 16 0 0 0 0
31 2 0 4.16928e-06 MF 0.9957927803677145 0.8496670861765813 0.8851525860924482 0.000145442112 0 0
32 1 0 2.4e-06 MF 0.9225091686527729 1.0 1.0 9.12e-05 0 0
33 24 0 3.127488e-06 MF 0.9999793021935658 0.7839429652810307 0.911545899756066 0.00012927767040000002 0 0
34 35 0 2.1599999999999996e-06 MF 0.9295388656677691 0.9864075471627056 0.9875660181391385 0.000111816 0 0
35 0 0 3.1344e-06 MF 0.9987531446942662 0.7969236896114209 0.8434704065563391 0.000121963392 0 0
36 1 0 2.76e-06 MF 0.9629492113937418 0.9864075471627056 1.0 0.00015768 0 0
37 2 0 3.467712e-06 MF 0.9992898790555417 0.7839429652810305 0.8381018762008489 0.0001535768448 0 0
38 24 0 2.4509952e-06 MF 0.999993457244929 0.7129349249049636 0.8407564855862738 0.00012071106816000001 0 0
39 25 0 3.931200000000001e-06 MF 0.9927892909025355 0.9070238357249062 0.940964747646284 0.00012731808 0 0
40 24 0 2.78039808e-06 MF 0.9999903321280018 0.6561443001328855 0.7566490995168743 0.000116084427264 0 0
41 25 0 3.37248e-06 MF 0.9973442560362245 0.8496670861765813 0.8913445322258581 0.000119327232 0 0
42 26 0 4.2000000000000004e-06 MF 0.9609181748120262 0.9864075471627056 1.0 0.000172824 0 0
43 29 0 0.0 MF 0.5 1.0 1.0 5.34e-05 0 0
44 30 0 0.0 MF 0.5 1.0 1.0 5.76e-05 0 0
45 5 0 0.0 MF 0.5 1.0 1.0 9.72e-05 0 0
46 21 0 0.0 MF 0.5 1.0 1.0 6e-05 0 0
47 20 0 0.0 MB 0.5 1.0 1.0 5.2799999999999996e-05 22 0 0 0 0
48 20 0 1.8e-06 MF 0.9222934246174064 1.0 1.0 9.252e-05 0 0
49 19 0 0.0 MF 0.5 1.0 1.0 0.000114 0 0
50 18 1 0.0 MB 0.5 1.0 1.0 6.84e-05 35 0 0 0 0
51 32 0 0.0 MF 0.5 1.0 1.0 5.46e-05 0 0
52 13 0 0.0 MF 0.5 1.0 1.0 4.86e-05 0 0
53 14 0 0.0 MB 0.5 1.0 1.0 4.32e-05 24 0 0 0 0
54 13 0 1.2e-06 MF 0.9229082299040308 1.0 1.0 8.004e-05 0 0
55 32 0 1.8e-06 MF 0.9233665158435639 1.0 1.0 8.184e-05 0 0
56 13 0 1.68e-06 MF 0.9334502998362342 0.9864075471627056 0.9875660181391385 9.2016e-05 0 0
57 14 0 1.2e-06 MF 0.9211330778017975 1.0 1.0 7.787999999999999e-05 0 0
58 15 0 0.0 MF 0.5 1.0 1.0 4.2e-05 0 0
59 16 0 0.0 MF 0.5 1.0 1.0 4.4999999999999996e-05 0 0
60 16 0 2.4e-06 MF 0.922268301619856 1.0 1.0 0.000126 0 0
61 17 0 0.0 MF 0.5 1.0 1.0 7.799999999999999e-05 0 0
62 9 0 0.0 MF 0.5 1.0 1.0 9.18e-05 0 0
63 8 0 0.0 MF 0.5 1.0 1.0 4.9199999999999997e-05 0 0
64 7 0 0.0 MF 0.5 1.0 1.0 4.26e-05 0 0
65 7 0 1.2e-06 MF 0.9228631802229308 1.0 1.0 7.764e-05 0 0
66 7 0 1.68e-06 MF 0.9630917891189159 0.9864075471627056 1.0 9.1056e-05 0 0
67 7 0 1.872e-06 MF 0.9877690161644291 0.9668986021357805 1.0 9.70224e-05 0 0
68 8 0 1.2e-06 MF 0.922718540125039 1.0 1.0 7.968e-05 0 0
69 8 0 2.2799999999999998e-06 MF 0.932900138814588 0.9864075471627056 0.9875660181391385 9.0672e-05 0 0
70 7 0 2.5488e-06 MF 0.9976691511278841 0.9383389763867801 1.0 0.00010120896 0 0
71 8 0 2.7119999999999996e-06 MF 0.9771142594555945 0.9539097119402662 0.9723138877349401 9.86688e-05 0 0
72 8 0 2.2847999999999997e-06 MF 0.997697060659025 0.9070238357249062 0.9631221966642931 0.00010126752 0 0
73 8 0 2.11392e-06 MF 0.9999113772548048 0.8496670861765813 0.9586525841017789 0.000100507008 0 0
74 34 0 0.0 MB 0.5 1.0 1.0 4.0799999999999996e-05 22 0 0 0 0
75 8 0 2.045568e-06 MF 0.9999984331279446 0.7839429652810307 0.9566948005345258 0.0001002028032 0 0
76 8 0 2.0182272e-06 MF 0.9999983814418429 0.7129349249049636 0.8625735624248363 9.828112128e-05 0 0
77 9 0 1.8e-06 MF 0.9230564109743549 1.0 1.0 9.432e-05 0 0
78 34 0 1.2e-06 MF 0.9231799005545506 1.0 1.0 7.632e-05 0 0
79 34 0 1.68e-06 MF 0.9633221542057439 0.9864075471627056 1.0 8.9928e-05 0 0
80 9 0 1.92e-06 MF 0.9337406866230349 0.9864075471627056 0.9875660181391385 9.3528e-05 0 0
81 9 0 1.968e-06 MF 0.9775279470718554 0.9539097119402661 0.9723138877349401 0.0001184112 0 0
82 9 0 1.9872000000000002e-06 MF 0.9977356900054088 0.907023835724906 0.9631221966642931 0.00015956447999999999 0 0
83 33 0 0.0 MB 0.5 1.0 1.0 4.4399999999999995e-05 63 0 0 0 0
84 10 0 0.0 MF 0.5 1.0 1.0 4.4399999999999995e-05 0 0
85 37 0 0.0 MF 0.5 1.0 1.0 4.02e-05 0 0
86 10 0 1.2e-06 MF 0.9230902585965394 1.0 1.0 7.296e-05 0 0
87 33 0 2.4e-06 MF 0.9230816116283416 1.0 1.0 7.235999999999999e-05 0 0
88 10 0 2.2799999999999998e-06 MF 0.9335444638421153 0.9864075471627056 0.9875660181391385 8.3784e-05 0 0
89 16 0 4.5599999999999995e-06 MF 0.9623611410929231 0.9864075471627056 1.0 0.00010440000000000002 0 0
90 27 0 0.0 MB 0.5 1.0 1.0 3.78e-05 32 0 0 0 0
91 27 0 1.2e-06 MF 0.9232014867902061 1.0 1.0 6.912e-05 0 0
92 27 0 1.68e-06 MF 0.9633378359771185 0.9864075471627056 1.0 8.0448e-05 0 0
93 16 0 3.0239999999999998e-06 MF 0.9778469524218114 0.9539097119402661 0.9729440871664418 0.00010356 0 0
94 37 0 1.2e-06 MF 0.9230259349276235 1.0 1.0 7.068e-05 0 0
95 13 0 1.872e-06 MF 0.9773897619605318 0.9539097119402661 0.9723138877349401 9.20064e-05 0 0
96 13 0 1.9488e-06 MF 0.9902675187743443 0.907023835724906 0.9339625375401838 9.080256e-05 0 0
97 13 0 1.97952e-06 MF 0.99780952072122 0.8496670861765815 0.8942894773551057 8.912102399999999e-05 0 0
98 13 0 1.991808e-06 MF 0.999891781992493 0.7839429652810307 0.8718060544658647 8.904840959999999e-05 0 0
99 12 0 0.0 MF 0.5 1.0 1.0 3.6599999999999995e-05 0 0
100 11 0 0.0 MF 0.5 1.0 1.0 4.4399999999999995e-05 0 0
101 11 0 1.8e-06 MF 0.9232317396708073 1.0 1.0 7.655999999999999e-05 0 0
102 11 0 2.52e-06 MF 0.9633598097568589 0.9864075471627056 1.0 0.000135624 0 0
103 16 0 2.4095999999999998e-06 MF 0.985369610295021 0.907023835724906 0.9258367588470368 0.000111024 0 0
104 15 0 1.8e-06 MF 0.9229727506741865 1.0 1.0 7.259999999999999e-05 0 0
105 16 0 2.1638399999999998e-06 MF 0.9938247604396002 0.8496670861765815 0.8735743738855176 9.90096e-05 0 0
106 15 0 1.92e-06 MF 0.9336597099083096 0.9864075471627056 0.9875660181391385 8.423999999999999e-05 0 0
107 14 0 2.2799999999999998e-06 MF 0.9612171061294373 0.9864075471627056 1.0 8.5752e-05 0 0
108 15 0 1.968e-06 MF 0.9774954545229385 0.9539097119402661 0.97231388773494 8.8896e-05 0 0
109 15 0 1.9872000000000002e-06 MF 0.9977318055387657 0.907023835724906 0.9631221966642931 9.07584e-05 0 0
110 14 0 2.112e-06 MF 0.9769445326715748 0.9539097119402661 0.9729440871664418 8.89008e-05 0 0
111 37 0 1.68e-06 MF 0.9336001139766953 0.9864075471627056 0.9875660181391385 8.2872e-05 0 0
112 14 0 2.0448e-06 MF 0.9927270037224699 0.907023835724906 0.940964747646284 9.016032e-05 0 0
113 32 0 1.92e-06 MF 0.9340407461838036 0.9864075471627056 0.9875660181391385 8.7336e-05 0 0
114 32 0 1.968e-06 MF 0.9565063861603934 0.9539097119402661 0.9585624300046881 9.01344e-05 0 0
115 13 0 1.9967232e-06 MF 0.9999982878791225 0.7129349249049636 0.861231891026133 9.021936384e-05 0 0
116 12 0 2.4e-06 MF 0.9231391383543374 1.0 1.0 6.924e-05 0 0
117 13 0 1.99868928e-06 MF 0.9999996198928393 0.6561443001328855 0.8127623446522056 0.000129087745536 0 0
118 12 0 2.1599999999999996e-06 MF 0.9338590427762057 0.9864075471627056 0.9875660181391385 8.1696e-05 0 0
119 12 0 2.064e-06 MF 0.9798176638315962 0.9520768496834661 0.9723138877349401 9.68784e-05 0 0
120 14 0 2.01792e-06 MF 0.9994199802339657 0.8496670861765815 0.9222084746362773 9.0064128e-05 0 0
121 13 0 0.00043799999999999997 MB 0.9992652376952126 0.9366691118267281 0.7325172981414293 0.0001050350982144 91 0 0 0 0
